Mnemonic:  EPS_PDAN_V_BAT
Conversion:  Default (EU)
Units:  Volts
Stream:  az1_rt1@bkusvr2
X Time,Y Value,Type,Status,Count
2024-Sep-01-14:00:00.000,36.1401276779175,Arch-hour/Average, ,-,
2024-Sep-01-14:00:00.000,36.1407441139221,Arch-hour/Average, ,-,
2024-Sep-01-15:00:00.000,36.1407441139221,Arch-hour/Average, ,-,
2024-Sep-01-15:00:00.000,36.1409495925903,Arch-hour/Average, ,-,
2024-Sep-01-16:00:00.000,36.1409495925903,Arch-hour/Average, ,-,
2024-Sep-01-16:00:00.000,36.1426907539368,Arch-hour/Average, ,-,
2024-Sep-01-17:00:00.000,36.1426907539368,Arch-hour/Average, ,-,
2024-Sep-01-17:00:00.000,36.1429719352722,Arch-hour/Average, ,-,
2024-Sep-01-18:00:00.000,36.1429719352722,Arch-hour/Average, ,-,
2024-Sep-01-18:00:00.000,36.1427468650274,Arch-hour/Average, ,-,
2024-Sep-01-19:00:00.000,36.1427468650274,Arch-hour/Average, ,-,
2024-Sep-01-19:00:00.000,36.1451164899917,Arch-hour/Average, ,-,
2024-Sep-01-20:00:00.000,36.1451164899917,Arch-hour/Average, ,-,
2024-Sep-01-20:00:00.000,35.8026866239549,Arch-hour/Average, ,-,
2024-Sep-01-21:00:00.000,35.8026866239549,Arch-hour/Average, ,-,
2024-Sep-01-21:00:00.000,35.0378794756075,Arch-hour/Average, ,-,
2024-Sep-01-22:00:00.000,35.0378794756075,Arch-hour/Average, ,-,
2024-Sep-01-22:00:00.000,35.3009378965401,Arch-hour/Average, ,-,
2024-Sep-01-23:00:00.000,35.3009378965401,Arch-hour/Average, ,-,
2024-Sep-01-23:00:00.000,35.5912574005127,Arch-hour/Average, ,-,
2024-Sep-02-00:00:00.000,35.5912574005127,Arch-hour/Average, ,-,
2024-Sep-02-00:00:00.000,35.8718647147391,Arch-hour/Average, ,-,Arch-hour/Average SB
2024-Sep-02-01:00:00.000,35.8718647147391,Arch-hour/Average, ,-,
2024-Sep-02-01:00:00.000,36.1325404518033,Arch-hour/Average, ,-,
2024-Sep-02-02:00:00.000,36.1325404518033,Arch-hour/Average, ,-,
2024-Sep-02-02:00:00.000,36.1307586685967,Arch-hour/Average, ,-,
2024-Sep-02-03:00:00.000,36.1307586685967,Arch-hour/Average, ,-,
2024-Sep-02-03:00:00.000,36.0845005339432,Arch-hour/Average, ,-,
2024-Sep-02-04:00:00.000,36.0845005339432,Arch-hour/Average, ,-,
2024-Sep-02-04:00:00.000,36.1207585655473,Arch-hour/Average, ,-,
2024-Sep-02-05:00:00.000,36.1207585655473,Arch-hour/Average, ,-,
2024-Sep-02-05:00:00.000,36.1407990950978,Arch-hour/Average, ,-,
2024-Sep-02-06:00:00.000,36.1407990950978,Arch-hour/Average, ,-,
2024-Sep-02-06:00:00.000,36.1382747064462,Arch-hour/Average, ,-,
2024-Sep-02-07:00:00.000,36.1382747064462,Arch-hour/Average, ,-,
2024-Sep-02-07:00:00.000,36.1383216285706,Arch-hour/Average, ,-,
2024-Sep-02-08:00:00.000,36.1383216285706,Arch-hour/Average, ,-,
2024-Sep-02-08:00:00.000,36.1382459259033,Arch-hour/Average, ,-,
